,Substation,Training_Data_Index,Bus_Voltage
151,Damak,test_data 152,0.995608
152,Damak,test_data 153,0.996604
153,Damak,test_data 154,0.996451
154,Damak,test_data 155,0.996654
155,Damak,test_data 156,0.996088
156,Damak,test_data 157,0.995851
157,Damak,test_data 158,0.996412
158,Damak,test_data 159,0.996731
159,Damak,test_data 160,0.996573
160,Damak,test_data 161,0.996415
161,Damak,test_data 162,0.996482
162,Damak,test_data 163,0.995998
163,Damak,test_data 164,0.996738
164,Damak,test_data 165,0.995707
165,Damak,test_data 166,0.996246
166,Damak,test_data 167,0.996055
167,Damak,test_data 168,0.995945
168,Damak,test_data 169,0.996211
169,Damak,test_data 170,0.99682
170,Damak,test_data 171,0.996371
171,Damak,test_data 172,0.995855
172,Damak,test_data 173,0.995749
173,Damak,test_data 174,0.996264
174,Damak,test_data 175,0.996336
175,Damak,test_data 176,0.995898
176,Damak,test_data 177,0.996605
177,Damak,test_data 178,0.996301
178,Damak,test_data 179,0.996466
179,Damak,test_data 180,0.996557
180,Damak,test_data 181,0.996682
181,Damak,test_data 182,0.996035
182,Damak,test_data 183,0.995666
183,Damak,test_data 184,0.99614
184,Damak,test_data 185,0.995863
185,Damak,test_data 186,0.996425
186,Damak,test_data 187,0.996801
187,Damak,test_data 188,0.995946
188,Damak,test_data 189,0.995885
189,Damak,test_data 190,0.996377
190,Damak,test_data 191,0.996423
191,Damak,test_data 192,0.996311
192,Damak,test_data 193,0.996587
193,Damak,test_data 194,0.995564
194,Damak,test_data 195,0.99558
195,Damak,test_data 196,0.996249
196,Damak,test_data 197,0.996695
197,Damak,test_data 198,0.996112
198,Damak,test_data 199,0.995957
199,Damak,test_data 200,0.996133
200,Damak,test_data 201,0.995746
201,Damak,test_data 202,0.99663
202,Damak,test_data 203,0.995939
203,Damak,test_data 204,0.996332
204,Damak,test_data 205,0.995996
205,Damak,test_data 206,0.996343
206,Damak,test_data 207,0.99614
207,Damak,test_data 208,0.996165
208,Damak,test_data 209,0.996466
209,Damak,test_data 210,0.995817
210,Damak,test_data 211,0.996479
211,Damak,test_data 212,0.99619
212,Damak,test_data 213,0.995956
213,Damak,test_data 214,0.996168
214,Damak,test_data 215,0.996297
215,Damak,test_data 216,0.995774
216,Damak,test_data 217,0.996451
217,Damak,test_data 218,0.99645
218,Damak,test_data 219,0.996114
219,Damak,test_data 220,0.996043
220,Damak,test_data 221,0.996272
221,Damak,test_data 222,0.996158
222,Damak,test_data 223,0.995734
223,Damak,test_data 224,0.996312
224,Damak,test_data 225,0.996339
225,Damak,test_data 226,0.996257
226,Damak,test_data 227,0.996015
227,Damak,test_data 228,0.996899
228,Damak,test_data 229,0.996158
229,Damak,test_data 230,0.99581
230,Damak,test_data 231,0.995977
231,Damak,test_data 232,0.995978
232,Damak,test_data 233,0.995548
233,Damak,test_data 234,0.996668
234,Damak,test_data 235,0.995863
235,Damak,test_data 236,0.997074
236,Damak,test_data 237,0.996455
237,Damak,test_data 238,0.996106
238,Damak,test_data 239,0.995885
239,Damak,test_data 240,0.995845
240,Damak,test_data 241,0.995888
241,Damak,test_data 242,0.996953
242,Damak,test_data 243,0.995944
243,Damak,test_data 244,0.995928
244,Damak,test_data 245,0.995496
245,Damak,test_data 246,0.99675
246,Damak,test_data 247,0.995643
247,Damak,test_data 248,0.995635
248,Damak,test_data 249,0.996024
249,Damak,test_data 250,0.995929
250,Damak,test_data 251,0.995871
251,Damak,test_data 252,0.996975
252,Damak,test_data 253,0.995834
253,Damak,test_data 254,0.995841
254,Damak,test_data 255,0.996604
255,Damak,test_data 256,0.995972
256,Damak,test_data 257,0.996356
257,Damak,test_data 258,0.996104
258,Damak,test_data 259,0.996272
259,Damak,test_data 260,0.996083
260,Damak,test_data 261,0.996999
261,Damak,test_data 262,0.996619
262,Damak,test_data 263,0.995573
263,Damak,test_data 264,0.996054
264,Damak,test_data 265,0.995988
265,Damak,test_data 266,0.996207
266,Damak,test_data 267,0.996158
267,Damak,test_data 268,0.996484
268,Damak,test_data 269,0.996267
269,Damak,test_data 270,0.996136
270,Damak,test_data 271,0.996315
271,Damak,test_data 272,0.996594
272,Damak,test_data 273,0.996582
273,Damak,test_data 274,0.996123
274,Damak,test_data 275,0.996511
275,Damak,test_data 276,0.99661
276,Damak,test_data 277,0.996093
277,Damak,test_data 278,0.996091
278,Damak,test_data 279,0.996387
279,Damak,test_data 280,0.996321
280,Damak,test_data 281,0.996079
281,Damak,test_data 282,0.99662
282,Damak,test_data 283,0.996425
283,Damak,test_data 284,0.996225
284,Damak,test_data 285,0.996369
285,Damak,test_data 286,0.996246
286,Damak,test_data 287,0.996063
287,Damak,test_data 288,0.996004
288,Damak,test_data 289,0.995653
289,Damak,test_data 290,0.996353
290,Damak,test_data 291,0.996645
291,Damak,test_data 292,0.995931
292,Damak,test_data 293,0.996107
293,Damak,test_data 294,0.99604
294,Damak,test_data 295,0.996556
295,Damak,test_data 296,0.995741
296,Damak,test_data 297,0.99639
297,Damak,test_data 298,0.996771
298,Damak,test_data 299,0.996028
299,Damak,test_data 300,0.996295
300,Damak,test_data 301,0.996218
301,Damak,test_data 302,0.995932
302,Damak,test_data 303,0.996152
303,Damak,test_data 304,0.995843
304,Damak,test_data 305,0.996535
305,Damak,test_data 306,0.996614
306,Damak,test_data 307,0.996342
307,Damak,test_data 308,0.996161
308,Damak,test_data 309,0.996777
309,Damak,test_data 310,0.996552
310,Damak,test_data 311,0.995995
311,Damak,test_data 312,0.997002
312,Damak,test_data 313,0.996482
313,Damak,test_data 314,0.996249
314,Damak,test_data 315,0.995874
315,Damak,test_data 316,0.996046
316,Damak,test_data 317,0.99616
317,Damak,test_data 318,0.996311
318,Damak,test_data 319,0.996217
319,Damak,test_data 320,0.996119
320,Damak,test_data 321,0.995663
321,Damak,test_data 322,0.9964
322,Damak,test_data 323,0.995906
323,Damak,test_data 324,0.995688
324,Damak,test_data 325,0.996067
325,Damak,test_data 326,0.996371
326,Damak,test_data 327,0.99668
327,Damak,test_data 328,0.996485
328,Damak,test_data 329,0.996175
329,Damak,test_data 330,0.995649
330,Damak,test_data 331,0.995637
331,Damak,test_data 332,0.996179
332,Damak,test_data 333,0.996044
333,Damak,test_data 334,0.996046
334,Damak,test_data 335,0.996079
335,Damak,test_data 336,0.99619
336,Damak,test_data 337,0.995643
337,Damak,test_data 338,0.996363
338,Damak,test_data 339,0.996531
339,Damak,test_data 340,0.99583
340,Damak,test_data 341,0.996316
341,Damak,test_data 342,0.996203
342,Damak,test_data 343,0.995852
343,Damak,test_data 344,0.996322
344,Damak,test_data 345,0.996605
345,Damak,test_data 346,0.9954
346,Damak,test_data 347,0.99656
347,Damak,test_data 348,0.995563
348,Damak,test_data 349,0.996265
349,Damak,test_data 350,0.996092
350,Damak,test_data 351,0.996228
351,Damak,test_data 352,0.996056
352,Damak,test_data 353,0.99633
353,Damak,test_data 354,0.99666
354,Damak,test_data 355,0.99552
355,Damak,test_data 356,0.995983
356,Damak,test_data 357,0.996473
357,Damak,test_data 358,0.996328
358,Damak,test_data 359,0.99606
359,Damak,test_data 360,0.996148
360,Damak,test_data 361,0.996483
361,Damak,test_data 362,0.995975
362,Damak,test_data 363,0.995863
363,Damak,test_data 364,0.997051
364,Damak,test_data 365,0.995846
365,Damak,test_data 366,0.996548
366,Damak,test_data 367,0.99647
367,Damak,test_data 368,0.995912
368,Damak,test_data 369,0.99612
369,Damak,test_data 370,0.996261
370,Damak,test_data 371,0.996085
371,Damak,test_data 372,0.996377
372,Damak,test_data 373,0.996482
373,Damak,test_data 374,0.996014
374,Damak,test_data 375,0.996487
375,Damak,test_data 376,0.99618
376,Damak,test_data 377,0.996368
377,Damak,test_data 378,0.996354
378,Damak,test_data 379,0.995955
379,Damak,test_data 380,0.996234
380,Damak,test_data 381,0.996373
381,Damak,test_data 382,0.996147
382,Damak,test_data 383,0.996518
383,Damak,test_data 384,0.995896
384,Damak,test_data 385,0.996213
385,Damak,test_data 386,0.996324
386,Damak,test_data 387,0.99673
387,Damak,test_data 388,0.996418
388,Damak,test_data 389,0.996596
389,Damak,test_data 390,0.996269
390,Damak,test_data 391,0.996289
391,Damak,test_data 392,0.996476
392,Damak,test_data 393,0.99595
393,Damak,test_data 394,0.995571
394,Damak,test_data 395,0.99614
395,Damak,test_data 396,0.99644
396,Damak,test_data 397,0.995668
397,Damak,test_data 398,0.995877
398,Damak,test_data 399,0.996398
399,Damak,test_data 400,0.996094
400,Damak,test_data 401,0.996528
401,Damak,test_data 402,0.996562
402,Damak,test_data 403,0.996337
403,Damak,test_data 404,0.996084
404,Damak,test_data 405,0.996374
405,Damak,test_data 406,0.99621
406,Damak,test_data 407,0.996045
407,Damak,test_data 408,0.995891
408,Damak,test_data 409,0.996265
409,Damak,test_data 410,0.996567
410,Damak,test_data 411,0.996711
411,Damak,test_data 412,0.996999
412,Damak,test_data 413,0.996807
413,Damak,test_data 414,0.996577
414,Damak,test_data 415,0.996624
415,Damak,test_data 416,0.996058
416,Damak,test_data 417,0.995908
417,Damak,test_data 418,0.996392
418,Damak,test_data 419,0.996975
419,Damak,test_data 420,0.996404
420,Damak,test_data 421,0.996396
421,Damak,test_data 422,0.99645
422,Damak,test_data 423,0.996561
423,Damak,test_data 424,0.995456
424,Damak,test_data 425,0.996448
425,Damak,test_data 426,0.996219
426,Damak,test_data 427,0.996098
427,Damak,test_data 428,0.995927
428,Damak,test_data 429,0.996136
429,Damak,test_data 430,0.996259
430,Damak,test_data 431,0.996336
431,Damak,test_data 432,0.99603
432,Damak,test_data 433,0.995736
433,Damak,test_data 434,0.995044
434,Damak,test_data 435,0.995656
435,Damak,test_data 436,0.995754
436,Damak,test_data 437,0.996414
437,Damak,test_data 438,0.995941
438,Damak,test_data 439,0.995776
439,Damak,test_data 440,0.996394
440,Damak,test_data 441,0.996057
441,Damak,test_data 442,0.996461
442,Damak,test_data 443,0.996172
443,Damak,test_data 444,0.996652
444,Damak,test_data 445,0.996204
445,Damak,test_data 446,0.995612
446,Damak,test_data 447,0.996119
447,Damak,test_data 448,0.995756
448,Damak,test_data 449,0.996134
449,Damak,test_data 450,0.997394
450,Damak,test_data 451,0.995515
451,Damak,test_data 452,0.996407
452,Damak,test_data 453,0.995597
453,Damak,test_data 454,0.99574
454,Damak,test_data 455,0.996876
455,Damak,test_data 456,0.996012
456,Damak,test_data 457,0.99596
457,Damak,test_data 458,0.995622
458,Damak,test_data 459,0.996467
459,Damak,test_data 460,0.996847
460,Damak,test_data 461,0.996123
461,Damak,test_data 462,0.996168
462,Damak,test_data 463,0.996091
463,Damak,test_data 464,0.996524
464,Damak,test_data 465,0.996239
465,Damak,test_data 466,0.995809
466,Damak,test_data 467,0.996551
467,Damak,test_data 468,0.996534
468,Damak,test_data 469,0.995703
469,Damak,test_data 470,0.99636
470,Damak,test_data 471,0.996601
471,Damak,test_data 472,0.995987
472,Damak,test_data 473,0.996415
473,Damak,test_data 474,0.996512
474,Damak,test_data 475,0.996306
475,Damak,test_data 476,0.996268
476,Damak,test_data 477,0.99573
477,Damak,test_data 478,0.996773
478,Damak,test_data 479,0.996254
479,Damak,test_data 480,0.996069
480,Damak,test_data 481,0.997158
481,Damak,test_data 482,0.996623
482,Damak,test_data 483,0.99557
483,Damak,test_data 484,0.996114
484,Damak,test_data 485,0.9956
485,Damak,test_data 486,0.995853
486,Damak,test_data 487,0.996505
487,Damak,test_data 488,0.996412
488,Damak,test_data 489,0.99631
489,Damak,test_data 490,0.9958
490,Damak,test_data 491,0.996524
491,Damak,test_data 492,0.996196
492,Damak,test_data 493,0.996279
493,Damak,test_data 494,0.995892
494,Damak,test_data 495,0.997009
495,Damak,test_data 496,0.996557
496,Damak,test_data 497,0.99586
497,Damak,test_data 498,0.996594
498,Damak,test_data 499,0.996707
499,Damak,test_data 500,0.99567
500,Damak,test_data 501,0.995803
501,Damak,test_data 502,0.996112
502,Damak,test_data 503,0.996394
503,Damak,test_data 504,0.995796
504,Damak,test_data 505,0.995992
505,Damak,test_data 506,0.996565
506,Damak,test_data 507,0.99671
507,Damak,test_data 508,0.996205
508,Damak,test_data 509,0.99611
509,Damak,test_data 510,0.996716
510,Damak,test_data 511,0.9968
511,Damak,test_data 512,0.996382
512,Damak,test_data 513,0.996407
513,Damak,test_data 514,0.995879
514,Damak,test_data 515,0.996506
515,Damak,test_data 516,0.996501
516,Damak,test_data 517,0.995686
517,Damak,test_data 518,0.995981
518,Damak,test_data 519,0.996044
519,Damak,test_data 520,0.996874
520,Damak,test_data 521,0.995353
521,Damak,test_data 522,0.996205
522,Damak,test_data 523,0.996651
523,Damak,test_data 524,0.996085
524,Damak,test_data 525,0.995938
525,Damak,test_data 526,0.996437
526,Damak,test_data 527,0.995915
527,Damak,test_data 528,0.995937
528,Damak,test_data 529,0.995589
529,Damak,test_data 530,0.996375
530,Damak,test_data 531,0.996605
531,Damak,test_data 532,0.996029
532,Damak,test_data 533,0.995849
533,Damak,test_data 534,0.996922
534,Damak,test_data 535,0.996558
535,Damak,test_data 536,0.996526
536,Damak,test_data 537,0.996201
537,Damak,test_data 538,0.996099
538,Damak,test_data 539,0.996464
539,Damak,test_data 540,0.995481
540,Damak,test_data 541,0.995605
541,Damak,test_data 542,0.995766
542,Damak,test_data 543,0.99593
543,Damak,test_data 544,0.996222
544,Damak,test_data 545,0.996123
545,Damak,test_data 546,0.996511
546,Damak,test_data 547,0.996413
547,Damak,test_data 548,0.996125
548,Damak,test_data 549,0.996642
549,Damak,test_data 550,0.996128
550,Damak,test_data 551,0.995974
551,Damak,test_data 552,0.996
552,Damak,test_data 553,0.996299
553,Damak,test_data 554,0.996495
554,Damak,test_data 555,0.996379
555,Damak,test_data 556,0.996104
556,Damak,test_data 557,0.996216
557,Damak,test_data 558,0.996082
558,Damak,test_data 559,0.996236
559,Damak,test_data 560,0.996376
560,Damak,test_data 561,0.995973
561,Damak,test_data 562,0.995628
562,Damak,test_data 563,0.996492
563,Damak,test_data 564,0.99592
564,Damak,test_data 565,0.996699
565,Damak,test_data 566,0.996343
566,Damak,test_data 567,0.996681
567,Damak,test_data 568,0.996364
568,Damak,test_data 569,0.996166
569,Damak,test_data 570,0.996387
570,Damak,test_data 571,0.996163
571,Damak,test_data 572,0.995787
572,Damak,test_data 573,0.996141
573,Damak,test_data 574,0.995767
574,Damak,test_data 575,0.996579
575,Damak,test_data 576,0.996078
576,Damak,test_data 577,0.996598
577,Damak,test_data 578,0.996194
578,Damak,test_data 579,0.996148
579,Damak,test_data 580,0.996063
580,Damak,test_data 581,0.99631
581,Damak,test_data 582,0.996761
582,Damak,test_data 583,0.99593
583,Damak,test_data 584,0.995876
584,Damak,test_data 585,0.996371
585,Damak,test_data 586,0.996269
586,Damak,test_data 587,0.996269
587,Damak,test_data 588,0.996508
588,Damak,test_data 589,0.996625
589,Damak,test_data 590,0.995469
590,Damak,test_data 591,0.99603
591,Damak,test_data 592,0.996425
592,Damak,test_data 593,0.996164
593,Damak,test_data 594,0.995983
594,Damak,test_data 595,0.996534
595,Damak,test_data 596,0.996367
596,Damak,test_data 597,0.996948
597,Damak,test_data 598,0.995808
598,Damak,test_data 599,0.995868
599,Damak,test_data 600,0.995784
600,Damak,test_data 601,0.995964
601,Damak,test_data 602,0.996586
602,Damak,test_data 603,0.996838
603,Damak,test_data 604,0.995891
604,Damak,test_data 605,0.996924
605,Damak,test_data 606,0.996152
606,Damak,test_data 607,0.996368
607,Damak,test_data 608,0.996148
608,Damak,test_data 609,0.996621
609,Damak,test_data 610,0.996343
610,Damak,test_data 611,0.99617
611,Damak,test_data 612,0.995794
612,Damak,test_data 613,0.996517
613,Damak,test_data 614,0.996341
614,Damak,test_data 615,0.996571
615,Damak,test_data 616,0.995708
616,Damak,test_data 617,0.995567
617,Damak,test_data 618,0.996057
618,Damak,test_data 619,0.996091
619,Damak,test_data 620,0.996128
620,Damak,test_data 621,0.996572
621,Damak,test_data 622,0.996634
622,Damak,test_data 623,0.996335
623,Damak,test_data 624,0.996439
624,Damak,test_data 625,0.996297
625,Damak,test_data 626,0.996584
626,Damak,test_data 627,0.996214
627,Damak,test_data 628,0.995795
628,Damak,test_data 629,0.996287
629,Damak,test_data 630,0.996149
630,Damak,test_data 631,0.995778
631,Damak,test_data 632,0.995705
632,Damak,test_data 633,0.995867
633,Damak,test_data 634,0.99626
634,Damak,test_data 635,0.995844
635,Damak,test_data 636,0.996638
636,Damak,test_data 637,0.996163
637,Damak,test_data 638,0.996139
638,Damak,test_data 639,0.996548
639,Damak,test_data 640,0.995326
640,Damak,test_data 641,0.995679
641,Damak,test_data 642,0.996507
642,Damak,test_data 643,0.996828
643,Damak,test_data 644,0.995942
644,Damak,test_data 645,0.996153
645,Damak,test_data 646,0.996482
646,Damak,test_data 647,0.99641
647,Damak,test_data 648,0.995567
648,Damak,test_data 649,0.996368
649,Damak,test_data 650,0.996438
650,Damak,test_data 651,0.996275
651,Damak,test_data 652,0.996621
652,Damak,test_data 653,0.99608
653,Damak,test_data 654,0.99561
654,Damak,test_data 655,0.996336
655,Damak,test_data 656,0.996839
656,Damak,test_data 657,0.995698
657,Damak,test_data 658,0.996662
658,Damak,test_data 659,0.996648
659,Damak,test_data 660,0.99652
660,Damak,test_data 661,0.99633
661,Damak,test_data 662,0.996448
662,Damak,test_data 663,0.995876
663,Damak,test_data 664,0.995861
664,Damak,test_data 665,0.996496
665,Damak,test_data 666,0.995797
666,Damak,test_data 667,0.996186
667,Damak,test_data 668,0.996354
668,Damak,test_data 669,0.996492
669,Damak,test_data 670,0.99636
670,Damak,test_data 671,0.996801
671,Damak,test_data 672,0.996052
672,Damak,test_data 673,0.996438
673,Damak,test_data 674,0.996742
674,Damak,test_data 675,0.995867
675,Damak,test_data 676,0.996883
676,Damak,test_data 677,0.99627
677,Damak,test_data 678,0.996001
678,Damak,test_data 679,0.996872
679,Damak,test_data 680,0.995927
680,Damak,test_data 681,0.996193
681,Damak,test_data 682,0.996795
682,Damak,test_data 683,0.99592
683,Damak,test_data 684,0.996192
684,Damak,test_data 685,0.996499
685,Damak,test_data 686,0.996213
686,Damak,test_data 687,0.996176
687,Damak,test_data 688,0.996125
688,Damak,test_data 689,0.996179
689,Damak,test_data 690,0.996407
690,Damak,test_data 691,0.9966
691,Damak,test_data 692,0.996364
692,Damak,test_data 693,0.995964
693,Damak,test_data 694,0.995841
694,Damak,test_data 695,0.996165
695,Damak,test_data 696,0.997002
696,Damak,test_data 697,0.995878
697,Damak,test_data 698,0.995721
698,Damak,test_data 699,0.996344
699,Damak,test_data 700,0.996215
700,Damak,test_data 701,0.996364
701,Damak,test_data 702,0.99618
702,Damak,test_data 703,0.996026
703,Damak,test_data 704,0.996517
704,Damak,test_data 705,0.996933
705,Damak,test_data 706,0.99577
706,Damak,test_data 707,0.995963
707,Damak,test_data 708,0.996514
708,Damak,test_data 709,0.996799
709,Damak,test_data 710,0.996811
710,Damak,test_data 711,0.99638
711,Damak,test_data 712,0.996781
712,Damak,test_data 713,0.995952
713,Damak,test_data 714,0.996686
714,Damak,test_data 715,0.996247
715,Damak,test_data 716,0.996648
716,Damak,test_data 717,0.996494
717,Damak,test_data 718,0.996254
718,Damak,test_data 719,0.996405
719,Damak,test_data 720,0.995955
720,Damak,test_data 721,0.996372
721,Damak,test_data 722,0.996464
722,Damak,test_data 723,0.996279
723,Damak,test_data 724,0.995651
724,Damak,test_data 725,0.996027
725,Damak,test_data 726,0.996445
726,Damak,test_data 727,0.995394
727,Damak,test_data 728,0.99566
728,Damak,test_data 729,0.996381
729,Damak,test_data 730,0.996179
730,Damak,test_data 731,0.996305
731,Damak,test_data 732,0.996057
732,Damak,test_data 733,0.9955
733,Damak,test_data 734,0.996151
734,Damak,test_data 735,0.995808
735,Damak,test_data 736,0.996586
736,Damak,test_data 737,0.996007
737,Damak,test_data 738,0.996231
738,Damak,test_data 739,0.996095
739,Damak,test_data 740,0.995718
740,Damak,test_data 741,0.996461
741,Damak,test_data 742,0.996488
742,Damak,test_data 743,0.995981
743,Damak,test_data 744,0.996032
744,Damak,test_data 745,0.996072
745,Damak,test_data 746,0.996108
746,Damak,test_data 747,0.996441
747,Damak,test_data 748,0.996199
748,Damak,test_data 749,0.996396
749,Damak,test_data 750,0.996559
750,Damak,test_data 751,0.995997
751,Damak,test_data 752,0.996101
752,Damak,test_data 753,0.996397
753,Damak,test_data 754,0.99578
754,Damak,test_data 755,0.996596
755,Damak,test_data 756,0.995725
756,Damak,test_data 757,0.996081
757,Damak,test_data 758,0.996132
758,Damak,test_data 759,0.996276
759,Damak,test_data 760,0.996846
760,Damak,test_data 761,0.996388
761,Damak,test_data 762,0.996568
762,Damak,test_data 763,0.996407
763,Damak,test_data 764,0.996454
764,Damak,test_data 765,0.997121
765,Damak,test_data 766,0.996566
766,Damak,test_data 767,0.996531
767,Damak,test_data 768,0.995896
768,Damak,test_data 769,0.996031
769,Damak,test_data 770,0.996451
770,Damak,test_data 771,0.995981
771,Damak,test_data 772,0.996686
772,Damak,test_data 773,0.996017
773,Damak,test_data 774,0.996616
774,Damak,test_data 775,0.996922
775,Damak,test_data 776,0.995953
776,Damak,test_data 777,0.995876
777,Damak,test_data 778,0.996283
778,Damak,test_data 779,0.996416
779,Damak,test_data 780,0.997066
780,Damak,test_data 781,0.996721
781,Damak,test_data 782,0.996094
782,Damak,test_data 783,0.996225
783,Damak,test_data 784,0.996517
784,Damak,test_data 785,0.99594
785,Damak,test_data 786,0.995765
786,Damak,test_data 787,0.996947
787,Damak,test_data 788,0.996308
788,Damak,test_data 789,0.996021
789,Damak,test_data 790,0.996004
790,Damak,test_data 791,0.996258
791,Damak,test_data 792,0.996574
792,Damak,test_data 793,0.995877
793,Damak,test_data 794,0.995972
794,Damak,test_data 795,0.996262
795,Damak,test_data 796,0.9961
796,Damak,test_data 797,0.996833
797,Damak,test_data 798,0.996204
798,Damak,test_data 799,0.996751
799,Damak,test_data 800,0.996246
800,Damak,test_data 801,0.996007
801,Damak,test_data 802,0.996297
802,Damak,test_data 803,0.996105
803,Damak,test_data 804,0.996183
804,Damak,test_data 805,0.995972
805,Damak,test_data 806,0.996831
806,Damak,test_data 807,0.996295
807,Damak,test_data 808,0.996207
808,Damak,test_data 809,0.996242
809,Damak,test_data 810,0.996618
810,Damak,test_data 811,0.996502
811,Damak,test_data 812,0.99636
812,Damak,test_data 813,0.996488
813,Damak,test_data 814,0.995908
814,Damak,test_data 815,0.996121
815,Damak,test_data 816,0.996277
816,Damak,test_data 817,0.995617
817,Damak,test_data 818,0.996179
818,Damak,test_data 819,0.996626
819,Damak,test_data 820,0.996695
